claim_id,afirmacion,valor_rango,unidad,condiciones,especie_cepa_material,escala,fuente_primaria,pagina_tabla,fecha_fuente,tipo_evidencia,incertidumbre,aplicacion_diseno,limitacion,archivos_que_la_usan,verificacion
A11,La metanogénesis se inhibe con perclorato; por eso la cámara A va antes de la B,—,—,Umbral no indicado,Metanógenos,Reactor,Sin fuente,PLAN §4.3,—,pendiente,Desconocida,Orden de las cámaras,Sin umbral de inhibición,PLAN; simulador f_biogas; P05,Pendiente de fuente
A12,Carga a la cámara B de ~2 kg SV/día,2,kg SV/d,—,"Frass, estiércol, rastrojo, aguas negras",Digestor,Balance de masa del equipo (no existe),PLAN §4.3,2026-09,pendiente,Desconocida,Base del cálculo de energía,No hay balance que la origine,PLAN; SISTEMA; DOCUMENTO-TECNICO; simulador; P04; P05,Sin origen | P1: el estiércol genera 0.06–0.17 kg SV/d; la carga de 2 kg SV/d es ≈12× mayor
A13,"Rendimiento de biogás 0.24 m³/kg (estiércol, base seca), guía FAO",0.24,m³/kg,Base declarada seca; carga declarada en SV,Estiércol,Digestor,"FAO 2019, Guía teórico-práctica sobre biogás (ca5082es)","Cuadros 12–14, pp.62–63",2019,dato publicado,Valor no localizado en la guía; aves 0.08 m³/kg húmedo (Cuadro 13); Cuadro 14 (MS) sin aves,Energía del sistema,Mezcla de bases SV y MS; la FAO advierte que las tablas pueden distar mucho de la realidad,PLAN; SISTEMA; DOCUMENTO-TECNICO; simulador; P04; P05,Discrepante (guía leída) | P1: se sustituye por 0.061–0.12 m³ CH₄/kg SV (PMC4176306) y 0.40 m³/kg MS de rastrojo (FAO Cuadro 14)
A14,Fracción de metano ~60 %,60,% vol,—,Biogás,Digestor,EPA AgSTAR,Página web,consulta 2026-09-15,dato publicado,EPA: 50–75 %,Energía,Depende del sustrato,PLAN; simulador; P05,Dentro del rango EPA
A15,Poder calorífico del CH₄ ~35.8 MJ/m³,35.8,MJ/m³,"Condiciones de P, T y base PCS/PCI no declaradas",CH₄,—,«Estándar» (sin fuente),—,—,dato publicado,Depende de condiciones normales y de si es PCI o PCS,Energía,Condiciones no declaradas,PLAN; SISTEMA; DOCUMENTO-TECNICO; P04; P05; simulador,Pendiente de fuente con condiciones
A16,≈10 MJ/d ≈ 2.9 kWh/d de biogás,2.864,kWh/d,Supuestos A12–A15,Biogás,Digestor,Cálculo (analysis/p0_verificacion.py §4),—,2026-09-15,resultado calculado,Hereda A12–A15; con 40 % eléctrico ≈ 1.15 kWh/d brutos,"Energía para carrusel, bombas y colchón térmico","Energía química bruta, no eléctrica ni neta",PLAN; SISTEMA; DOCUMENTO-TECNICO; FASE-6; PRESUPUESTO-CICLO; simulador; P04; P05,Aritmética correcta; interpretación incorrecta | P1: nominal 0.24 kWh/d químicos (arquitectura B)
A17,El sistema es energéticamente autosuficiente y no compite por la energía de la misión,—,—,—,—,Módulo,Sin fuente,PLAN §12 (4); §11,2026-09,hipótesis,Consumos no calculados,Argumento de viabilidad,Contradicción sin balance de consumos,PLAN:830; SISTEMA:597; DOCUMENTO-TECNICO:392; FASE-6:41; simulador L1009,No sustentada | P1: refutada; el biogás eléctrico cubre el 0.3–1.5 % de la iluminación
A18,Codorniz: primer huevo a los 40 días,40,días,Condiciones terrestres,Coturnix japonica,Parvada,Rev. Científica (SciELO Ve) 2009; Vásquez Romero UNAS 2011,—,2009/2011,dato publicado,No leído en P0,Relevos de parvada,"Tasa terrestre, no a 0.38 g","PLAN §4.2, §5; SISTEMA; DOCUMENTO-TECNICO; simulador",Pendiente de lectura | P1: 50.8 d medidos en PMC10113653
A19,Consumo ~23 g/ave/día,23,g/ave/d,Condiciones terrestres,Coturnix japonica,Parvada,Alcedo et al. 2015 (citado),—,2015,dato publicado,No leído en P0,Ración 552 g/d,Tasa terrestre,PLAN; SISTEMA; DOCUMENTO-TECNICO; PRESUPUESTO-MILPA-360,Pendiente de lectura | P1: 32.1 g/ave/d medidos en PMC10113653 Tabla 8
A20,Tasa de postura ~68 %; huevo ~10.8 g,68; 10.8,%; g,Condiciones terrestres,Coturnix japonica,Parvada,Repositorio UNAS (citado); «Literature review»,—,—,dato publicado,No leído en P0; «Literature review» no es fuente,Producción de huevo,Tasa terrestre,PLAN; SISTEMA; DOCUMENTO-TECNICO; P04,Pendiente de lectura | P1: 61.4–91.7 % y 12.56 g (PMC10113653 Tablas 6–7)
A21,"24 hembras ≈ 16 huevos/d ≈ 11,900 huevos en la misión ≈ 29 g/persona/d","16.3; 11,900; 29",huevos/d; huevos; g/p/d,A19–A20; 730 d,Coturnix japonica,Parvada,Cálculo del equipo (reproducido en script §5),PLAN §4.2,2026-09,resultado calculado,Hereda A18–A20; sin mortalidad ni relevos,Aporte de proteína fresca,No expresa kcal ni proteína por persona,PLAN; SISTEMA; DOCUMENTO-TECNICO,"Aritmética correcta | P1: 18 huevos/d, 226 g/d, 357 kcal/d (nominal)"
A22,Ración de aves: 552 g/d = 403 kg en 730 d como entrada externa,403,kg,Si la ración es grano importado,Coturnix japonica,Misión,Cálculo P0 (script §5),—,2026-09-15,resultado calculado,Hereda A19; sin sustitución por larva cuantificada,Balance de masa y masa de lanzamiento,Contradice «insumos 0 kg»,PRESUPUESTO-CICLO-DE-VIDA (0 kg); PLAN §4.2,Nuevo en P0 | P1: 0.77 kg/d → 415 kg en 539 d; masa neta importada +214 kg
A23,BSF reduce 44–82 % la materia seca del residuo,44–82,% MS,—,Hermetia illucens,Laboratorio,"Diola et al. 2024, Philipp. J. Sci. 153(2):609–618",Tabla 2,2024,dato publicado,Codorniz: 62.49 % MS y 70.50 % húmedo; n=3; 30 °C; 77 % HR; 0.5 larvas/cm³,Viabilidad de la Parte 2,El rango 44–82 no está en este artículo,"PLAN §4.2, §5, §12; SISTEMA; DOCUMENTO-TECNICO; P04",Discrepante (artículo leído)
A24,El frass tiene NPK comparable al de fertilizantes orgánicos comerciales,—,—,—,Frass de H. illucens,—,Waste Management (S0956053X22000666) citado,—,2022,dato publicado,No leído en P0,Abono,El PLAN §13 ya advierte que requiere caracterización,"PLAN §4.2, §5",Pendiente de lectura
A25,La larva vuelve al comedero y cierra el bucle; la única entrada externa es la fracción de grano,—,—,—,Coturnix japonica / H. illucens,Sistema,Sin fuente,PLAN §4.2,2026-09,hipótesis,Proporción sustituible desconocida; riesgo sanitario de reintegración,Reducción de masa importada,Requiere criterios sanitarios,PLAN; SISTEMA; simulador,Sin cuantificar
A26,S. caninervis regenera al 100 % en 30 días tras condiciones marcianas simuladas,100; 30,%; días,95 % CO₂; −60 a 20 °C; UV alto; baja presión; plantas desecadas,Syntrichia caninervis,Cámara de simulación,"Li et al. 2024, The Innovation (S2666-6758(24)00095-X)",—,2024-06-30,dato publicado,Original bloqueado (403); coincide en fuentes secundarias,Planta pionera y costra,Supervivencia ≠ crecimiento productivo; no confirmado «sobre suelo marciano simulado»,"PLAN §4.4, §5, §11, §12; SISTEMA; DOCUMENTO-TECNICO; P04; deck",PUB-ind
A27,"S. caninervis: LD50/1h ≈ 5,000 Gy gamma (desecado); sobrevive −196 °C",5000; −196,Gy; °C,Estado desecado,Syntrichia caninervis,Laboratorio,"Li et al. 2024, The Innovation",—,2024,dato publicado,Original bloqueado,Resistencia a radiación,Hidratado y en crecimiento será menor,PLAN; SISTEMA; P04; deck,PUB-ind
A28,"El musgo es semáforo go/no-go: si prospera, el sustrato está desintoxicado",—,—,—,Syntrichia caninervis,Bandeja,Sin fuente,PLAN §4.4,2026-09,hipótesis,Falla lógica: un indicador más tolerante que el cultivo da falsos «apto»,"Estación S5, liberación a cultivo",No sustituye análisis químico,PLAN; SISTEMA; simulador; deck,Rechazada como criterio de seguridad
A29,La costra de musgo impide la resuspensión de polvo al girar el carrusel,—,—,—,Syntrichia caninervis,Bandeja,Sin fuente,PLAN §4.4,2026-09,hipótesis,Desconocida,Cumplir el límite de polvo,Sin medición de resuspensión,PLAN; SISTEMA; DOCUMENTO-TECNICO,Pendiente de ensayo
A30,"La MFC como biosensor distingue toxicidad de falta de carga, con consumo cero y sin calibración con reactivos",—,—,—,Consorcio anódico,Punto de trasvase,RSER S1364032117310420; Anal. Bioanal. Chem. 2024 (citados),—,2017; 2024,hipótesis,No leído; los biosensores MFC necesitan línea base y calibración,Diferenciador 4; sensores baratos,No mide ClO₄⁻ ni variables ECLSS,"PLAN §0.5, §4.4, §4.5; DOCUMENTO-TECNICO; deck",Pendiente de lectura
A31,"Lunar Palace 1 alcanzó 97 % de cierre en 105 días con animal, microorganismo y planta",97; 105,%; días,3 tripulantes,Plantas; Tenebrio molitor,Hábitat análogo,"Fu et al. 2016, Astrobiology 16(12):925–936",Resumen,2016,dato publicado,"El resumen reporta 55 % del alimento regenerado, O₂ y agua reciclados, 41 % de residuo sólido degradado y 20.5 % de N urinario; el 97 % no aparece",Precedente y causa raíz,Posible confusión con otro experimento,"PLAN §5 dato 10, §6, §12; DOCUMENTO-TECNICO; deck",Discrepante (PUB-ind)
A32,"MELiSSA cierra el ciclo solo integrando animal, microorganismo y planta",—,—,—,—,—,"ESA, MELiSSA Closed Loop Compartments",Página web,consulta 2026-09-15,dato publicado,"ESA: CI–CV con bacterias, algas, plantas y tripulación; sin animales superiores",Causa raíz de los 5 Por Qué,Contradicho por la fuente,"PLAN §6, §11; SISTEMA",Discrepante (leído)
A33,"«Los únicos tres sistemas del mundo que han cerrado el ciclo» son BIOS-3, MELiSSA y Lunar Palace 1",3,sistemas,—,—,—,Sin fuente,PLAN §6; §11,2026-09,hipótesis,Sin revisión de antecedentes,Frase de causa raíz,Afirmación absoluta sin sustento,"PLAN:589, 732",No sustentada
A34,"Cada bandeja interior descansa 56 soles entre deposiciones, garantizado por la geometría",56,soles,8 estaciones × 8 soles; aviario en una estación,Sustrato,Carrusel,Cálculo (script §6; autotest del simulador L2594),—,2026-09-15,resultado calculado,Exacto como regla; no mide la recuperación del suelo,Diferenciador 1,El descanso no implica regeneración sin datos de suelo,PLAN; SISTEMA; DOCUMENTO-TECNICO; simulador; deck; P03,Correcto como regla | P1: en la arquitectura B el intervalo entre deposiciones es de 152 soles
A35,Una tormenta de 3 semanas pierde ≈25 % de la producción frente al 100 % de un cultivo sincronizado,25 vs 100,%,Tormenta de 21 soles,Policultivo,Anillo exterior,Regla programada del simulador L2420,—,2026-09,escenario ilustrativo,El código marca 3 o 4 de 12 bandejas (25 % o 33 %) por posición; daño reversible; el caso de 100 % no se simula,Diferenciador 3,No es resultado de un modelo ni de un ensayo,"PLAN §0.5, §4.4, §11; deck Desfase; simulador",Programado (AUD C10)
A36,Superficie total de bandejas ≈10 m²,10.288,m²,HOLGURA angular 0.94; sectores anulares,—,Módulo digital,Cálculo desde constantes del simulador (script §1),—,2026-09-15,resultado calculado,Nominal digital; sin espesor de pared,Área de cultivo y masa,Solo 6.263 m² son de cultivo (anillo exterior),"PLAN; SISTEMA; DOCUMENTO-TECNICO (9.8 m², cajas); P02 (10.0 m²)",Confirmado; DOCUMENTO-TECNICO superado
A37,Casco de Ø 4.56 m × 2.2 m,4.56,m,Sectores sin pasillo,—,Módulo digital,Constante R_CASCO del simulador,L1138,2026-09,resultado calculado,"Coexisten 3.5, 4.76, 5.40 y 6.00 m en otros archivos",Todo el diseño,Sin acceso humano ni mantenimiento verificados (holgura 0.301 m),Ver AUDITORIA §3.1,Contradicciones activas
A38,"El sistema mueve ~3.3–3.4 t de regolito, todo in situ: cero masa de lanzamiento","3,395",kg,22 cm; densidad supuesta 1500 kg/m³,Regolito,Módulo,Cálculo (script §2),—,2026-09-15,resultado calculado,Con densidad 1200–1800 kg/m³: 2.7–4.1 t; sin humedad ni contenedor,"Masa, estructura, par del motor","«Cero masa de lanzamiento» ignora extracción, tratamiento, estructura y energía",PLAN:357; PRESUPUESTO-MILPA-360; CLAUDE.md,Masa confirmada; «cero masa» no sustentado
A39,Los 20 kg de regolito por bandeja son la capa lavada de 2.5 cm,18.9,kg,Densidad 1500 kg/m³; sector interior 0.503 m²,Regolito,Bandeja interior,Cálculo (script §2),—,2026-09-15,resultado calculado,Depende de la densidad,Estación S1,Equivale al 11.4 % del volumen de la cubeta,PLAN §4.1; CLAUDE.md,Confirmado; brecha de tratamiento
A40,Límite de polvo marciano en el hábitat,0.1 (F) / 0.3 (anexo E),mg/m³,"F: <10 µm, promedio ponderado, escenarios ≤30 días; E: intermitente hasta 6 meses",Polvo marciano,Hábitat,NASA-STD-3001 Vol.2 Rev.F [V2 6253]; anexo ECLSS del concurso [V2 6053],F §6.2.8.4 p.63; anexo p.2,2026-07-14; 2026-08,requisito,F pide reevaluar para estancias largas; E y F discrepan,Riego por goteo; costra de musgo; HEPA,Documentos usan 0.3 como marciano; el simulador cita 6053 para 0.1,"PLAN:177,210,476,562; SISTEMA:164,267,364; DOCUMENTO-TECNICO:382; CONTEXTO:176; simulador L952",Leído en F; discrepancias documentadas
A41,HEPA ≥ 99.97 % a 0.3 µm es el requisito V2 6059,99.97,%,—,—,Aviario,NASA-STD-3001 Vol.2 Rev.F [V2 6059]; anexo ECLSS,F §6.2.8.5 p.64; anexo p.2,2026,requisito,El requisito es «aire microbiológicamente seguro»; HEPA es el enfoque histórico,Aviario a presión negativa,Mal atribuido,"PLAN §2.2, §11; SISTEMA; DOCUMENTO-TECNICO; simulador",Corregido en P0
A42,Agua potable mínima de 2.5 L/tripulante/día,2.5,L/trip/d,Hidratación,Agua,Tripulación,Anexo ECLSS (Rev.E Tabla 6.3-1),p.2,2026-08,requisito,Rev.F no comparada,Separar el circuito de riego,—,PLAN; SISTEMA; P04,Leído en anexo
A43,Las codornices cantan y violan NC-40 si no se aíslan,—,dB,Zona de sueño en misiones >30 d,Coturnix japonica,Aviario,Anexo ECLSS [V2 6079] para el límite; nivel de las aves sin fuente,p.3,2026-08,hipótesis,Sin nivel sonoro medido,Aislamiento acústico,Sin dB,"PLAN §2.2, §11",Pendiente de dato
A44,No está validada la gravedad marciana (0.38 g) para codornices ni para la sedimentación del digestor,—,—,—,Coturnix japonica; lodos,Misión,Declaración del equipo,PLAN §13 (8),2026-09,pendiente,Máxima,Riesgo principal declarado,—,PLAN; deck Limites; simulador,Coherente como límite
A45,Chiapas: ganadería en ~3 Mha (33 % de la superficie); 90 % extensiva,3; 33; 90,Mha; %; %,—,—,Estado,Alerta Chiapas 2026 (prensa); fuente primaria no identificada,—,2026-05-29,dato publicado,Fuente secundaria,Retorno a la Tierra,Falta fuente oficial (SIAP/INEGI),"PLAN §5, §9, §11; SISTEMA; DOCUMENTO-TECNICO",Pendiente de fuente primaria
A46,72 % del cambio de uso de suelo 2000–2021 en Chiapas fue por pastizales,72,%,2000–2021,—,Estado,Alerta Chiapas 2026 (prensa),—,2026,dato publicado,Fuente secundaria,Retorno,Falta fuente primaria,PLAN; SISTEMA,Pendiente de fuente primaria
A47,35.6 % de la degradación de suelo en Chiapas se debe a deforestación,35.6,%,—,—,Estado,"SEMARNAT, Informe del Medio Ambiente cap. 3 (citado)",—,—,dato publicado,No leído en P0,Retorno,—,PLAN; SISTEMA,Pendiente de lectura
A48,"Café de Chiapas: pérdidas de 25–30 % por sequía y calor; >180,000 familias dependen","25–30; 180,000",%; familias,—,Coffea arabica,Estado,BHRRC (agregador de noticias),—,—,dato publicado,Fuente secundaria,Retorno,Falta fuente primaria,"PLAN §5, §9, §11",Pendiente de fuente primaria
A49,"La roya subió de 800 a 1,700 msnm desde 2012",800→1700,msnm,—,Hemileia vastatrix,Regional,"Sociedad y Ambiente 2019 (SciELO MX, citado)",—,2019,dato publicado,No leído en P0,Retorno,—,PLAN; SISTEMA,Pendiente de lectura
A50,"Envío a la superficie de Marte ~35,000 USD/kg; sistema de 2,000 kg; tripulación 130,000 USD/h; retorno de inversión antes del sol 150","35,000; 2,000; 130,000; 150",USD/kg; kg; USD/h; sol,—,—,Misión,Sin fuentes,PRESUPUESTO-CICLO-DE-VIDA.md,2026-09,hipótesis,Desconocida; el total de 233.4 M USD no se compara con el ahorro declarado,Argumento económico,Separar ahorro de masa de ahorro económico,PRESUPUESTO-CICLO-DE-VIDA.md (sin commit),No sustentada
A51,"Prototipo terrestre 1:1 ≈ 89,700 MXN; 9 partidas C/D cubren el 58 % del monto","89,700; 58",MXN; %,Precios de septiembre de 2026,—,Prototipo terrestre,PRESUPUESTO-MILPA-360.md,§6,2026-09,resultado calculado,"«C» = precio público de catálogo, no cotización formal; sin IVA, envío ni fecha por partida",Presupuesto,Hereda los problemas de acceso y trasvase; par del motor sin calcular,PRESUPUESTO-MILPA-360.md (sin commit),Revisar en P4
A52,Una rampa de riego fija regaría cada bandeja una vez cada 96 soles,96,soles,12 bandejas × 8 soles por paso,—,Anillo exterior,Cálculo del equipo,CLAUDE.md; simulador f_riego,2026-09,resultado calculado,Exacto como regla,Justifica el goteo sobre pivote,Unión rotativa y caudal sin especificar,CLAUDE.md; PLAN R11; simulador,Aritmética correcta
A53,Micorrizas multiplican ×10 la absorción hídrica,10,×,—,Glomeromycota,Raíz,Sin fuente,PLAN §4.4,2026-09,pendiente,Probablemente sobreestimado y dependiente del sistema,Seguro frente a fallos de riego,Sin fuente,"PLAN §2.1 R11, §4.4",Pendiente de fuente
A54,"Tiempos de cascada: codornices 30–40, larvas 16, digestor 24, cultivo ~8 soles",30–40; 16; 24; 8,soles,—,—,Sistema,Sin cálculo,PLAN §7,2026-09,hipótesis,Desconocida,Entregable 4,Sin inventarios ni reservas modelados,PLAN §7; SISTEMA; DOCUMENTO-TECNICO; P04,Sin cálculo
A55,Final de Madrid del 3 al 5 de noviembre de 2026 en Getafe,3–5 nov 2026,fecha,—,—,Evento,thegrandjam2026.mars-challenge.com; mars-challenge.com/espana,Web,consulta 2026-09-15,dato publicado,La página de España también dice «Final Internacional en Octubre de 2026»,Calendario de 30 días,Falta la fecha límite de entrega,MISION §2,Confirmado con incoherencia
A56,Un grupo electrógeno convierte ≈40 % de la energía del biogás en electricidad,40,%,Genérico,Biogás,Equipo,FAO 2019 (ca5082es),p.63 (remite al cap. 3),2019,dato publicado,Lectura parcial del párrafo,Energía eléctrica neta,Sin auxiliares ni tratamiento de gas,— (nuevo en P0),Leído parcialmente
A57,Ciclos de cultivo: camote 90–120 d; rábano 25–30 d; leguminosa continua; cosecha de bandeja cada 96 soles,90–120; 25–30; 96,días; días; soles,Condiciones terrestres,Ipomoea batatas; Raphanus sativus; leguminosas,Bandeja,Sin fuente,PLAN §4.4,2026-09,pendiente,Desconocida; un ciclo fijo de 96 soles no encaja con cultivos distintos,Calendario del anillo exterior,"Sin PPFD, DLI ni rendimiento",PLAN; SISTEMA; simulador,"Pendiente de fuente | P1: BVAD da camote 85 d, frijol 85 d, rábano 25 d"
A58,DRA 5.0: estancia en superficie de 539 d con tránsitos de 174 y 201 d (total 914 d),539; 174; 201; 914,d,"Clase conjunción, perfil 2037",—,Misión,NASA-SP-2009-566 (DRA 5.0),§4,2009,dato publicado,Perfil representativo,Horizonte de diseño,Total > 2 años de las bases,config; P1-INGENIERIA,Leído (sha 1b3f956984f527c7)
A59,Estancia en superficie compatible con las bases (~730 d − tránsitos DRA),355,d,Bases aproximadas + tránsitos DRA,—,Misión,Cálculo P1,analysis/milpa360_p1.py §1,2026-09-15,resultado calculado,Hereda «aprox. 2 años»,Escenario de bases,Mezcla una cifra aproximada con un perfil concreto,P1-INGENIERIA,Nuevo en P1
A60,"Energía alimentaria de 3,035 kcal/tripulante/d",3035,kcal/trip/d,Promedio,—,Tripulación,NASA-STD-3001 Vol.2 Rev.F [V2 7003],§7.1.1.3,2026-07-14,requisito,—,Cobertura alimentaria,—,config,Leído
A61,"MILPA-360 cubre el 2.0–3.3 % de la energía alimentaria de 6 tripulantes (arquitectura B, 4.0 m² de cultivo)",2.0–3.3,%,Productividad 0.5–1.1× BVAD; postura 61–92 %,"Codorniz; camote, frijol, rábano",Módulo,Cálculo P1,analysis/milpa360_p1.py §3–7,2026-09-15,resultado calculado,Hereda supuestos de reparto y productividad,Mensaje de impacto; provisiones,Sin validación; micronutrientes sin calcular,P1-INGENIERIA,Nuevo en P1
A62,Huevo de codorniz: 158 kcal y 13.0 g de proteína por 100 g,158; 13.0,kcal/100 g; g/100 g,"Crudo, entero",Coturnix japonica,Alimento,USDA FoodData Central 172191,SR Legacy,consulta 2026-09-15,dato publicado,—,Cobertura alimentaria,—,config,Leído (API)
A63,Codorniz en trópico: primer huevo a 50.8 d; postura 61.4 % (semanas 6–16) y 91.7 % (semana 16); huevo de 12.56 g; ración de 32.1 g/ave/d,50.8; 61.4–91.7; 12.56; 32.1,d; %; g; g/ave/d,"Tamil Nadu, 4 líneas, jaulas, gravedad terrestre",Coturnix japonica,Parvada experimental,PMC10113653 (2023),Tablas 5–8,2023,dato publicado,Solo 16 semanas de edad; no cubre postura prolongada,Aviario,Condiciones terrestres tropicales,config,Leído
A64,La ración importada del aviario supera el alimento empacado que ahorra el módulo: masa neta +214 kg en 539 d (+141 kg en 355 d),+214,kg,Sin sustitución de ración por larvas; sin masa de hardware,—,Misión,Cálculo P1,analysis/milpa360_p1.py §8,2026-09-15,resultado calculado,Depende de A61 y del consumo de 32.1 g/d,Argumento de ahorro de masa,La larva podría sustituir parte de la ración (no cuantificado),P1-INGENIERIA,Nuevo en P1
A65,El estiércol de 24 codornices aporta 0.06–0.17 kg SV/d,0.062–0.170,kg SV/d,ST = 0.20–0.30 × ración; SV/ST 0.40–0.74,Coturnix japonica,Aviario,Cálculo P1 con ASABE D384.2 (vía VT BSE-359) y Diola 2024,§3–7,2026-09-15,resultado calculado,La relación ST/ración es un supuesto,Carga del digestor,Falta una fuente específica de excreción de codorniz,config; P1-INGENIERIA,Nuevo en P1
A66,Rendimiento de metano de estiércol avícola en codigestión: 0.061–0.12 m³ CH₄/kg SV,0.061–0.12,m³ CH₄/kg SV,35 °C; 2–3 kg SV/m³·d; con paja,Estiércol avícola,Reactor semicontinuo,PMC4176306,Resultados,—,dato publicado,Codigestión; no es codorniz sola,Energía,Otro reactor y otra mezcla,config,Leído
A67,El biogás de MILPA-360 aporta 0.12–0.46 kWh/d químicos y 0.05–0.19 kWh/d eléctricos brutos,0.12–0.46,kWh/d,Arquitectura B; larvas antes del digestor,—,Módulo,Cálculo P1,§3–7,2026-09-15,resultado calculado,"Hereda A65, A66",Parte 2 del reto,No cubre calefacción del digestor ni auxiliares,P1-INGENIERIA,Nuevo en P1; sustituye a A16
A68,La iluminación de 4.0 m² de cultivo consume 12–19 kWh/d de electricidad,12.2–19.3,kWh/d,24–28 mol/m²·d; 1.9–3.0 µmol/J; entrega 0.8,"Camote, frijol, rábano",Módulo,Cálculo P1 con BVAD Tablas 4-86 y 4-89 y Kusuma 2020,§3–7,2026-09-15,resultado calculado,Luz solar no considerada,Balance de energía; carga térmica,Otros consumos sin calcular,P1-INGENIERIA,Nuevo en P1
A69,Eficacia actual de luminarias LED de 2.5–2.8 µmol/J (blanco + rojo) y 3.0 µmol/J (azul + rojo); mínimo DLC 1.9,1.9–3.0,µmol/J,Luminarias comerciales,—,Luminaria,"Kusuma, Pattison & Bugbee 2020, Hortic. Res. 7:56",Tabla 2 y texto,2020,dato publicado,Tecnología de 2020,Energía de iluminación,—,config,Leído
